changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,changepoint_range,seasonality_mode,yearly_seasonality,rmse,mape,mae,num_cutoffs
0.001,10.0,0.1,0.8,additive,True,229.76344441483062,0.08863462077971221,195.93318461238835,14
0.001,10.0,0.01,0.8,additive,True,229.76344441483062,0.08863462077971221,195.93318461238835,14
0.01,1.0,0.1,0.85,additive,True,231.52401693201324,0.08914496966838693,196.3799259269833,14
0.01,1.0,0.01,0.85,additive,True,231.52401693201324,0.08914496966838693,196.3799259269833,14
0.01,1.0,5.0,0.85,additive,True,231.52401693201324,0.08914496966838693,196.3799259269833,14
0.01,1.0,1.0,0.85,additive,True,231.52401693201324,0.08914496966838693,196.3799259269833,14
0.01,1.0,10.0,0.85,additive,True,231.52401693201324,0.08914496966838693,196.3799259269833,14
0.01,1.0,10.0,0.8,additive,True,232.28073069186527,0.089416479483899,196.9541694709085,14
0.01,1.0,0.01,0.8,additive,True,232.28073069186527,0.089416479483899,196.9541694709085,14
0.01,1.0,0.1,0.8,additive,True,232.28073069186527,0.089416479483899,196.9541694709085,14
0.01,1.0,1.0,0.8,additive,True,232.28073069186527,0.089416479483899,196.9541694709085,14
0.01,1.0,5.0,0.8,additive,True,232.28073069186527,0.089416479483899,196.9541694709085,14
0.01,1.0,0.1,0.95,additive,True,234.70971308034044,0.0903559928695207,198.8764244913386,14
0.01,1.0,5.0,0.95,additive,True,234.70971308034044,0.0903559928695207,198.8764244913386,14
0.01,1.0,1.0,0.95,additive,True,234.70971308034044,0.0903559928695207,198.8764244913386,14
0.01,1.0,0.01,0.95,additive,True,234.70971308034044,0.0903559928695207,198.8764244913386,14
0.01,1.0,10.0,0.95,additive,True,234.70971308034044,0.0903559928695207,198.8764244913386,14
0.1,0.1,1.0,0.95,additive,True,253.2590750350449,0.09161962652842501,196.73515874295643,14
0.1,0.1,5.0,0.95,additive,True,253.2590750350449,0.09161962652842501,196.73515874295643,14
0.1,0.1,0.1,0.95,additive,True,253.2590750350449,0.09161962652842501,196.73515874295643,14
0.1,0.1,10.0,0.95,additive,True,253.2590750350449,0.09161962652842501,196.73515874295643,14
0.1,0.1,0.01,0.95,additive,True,253.2590750350449,0.09161962652842501,196.73515874295643,14
0.1,0.1,0.01,0.8,additive,True,255.3290824268742,0.09192529342891886,197.08671421157726,14
0.1,0.1,1.0,0.8,additive,True,255.3290824268742,0.09192529342891886,197.08671421157726,14
0.1,0.1,5.0,0.8,additive,True,255.3290824268742,0.09192529342891886,197.08671421157726,14
0.1,0.1,0.1,0.8,additive,True,255.3290824268742,0.09192529342891886,197.08671421157726,14
0.1,0.1,10.0,0.8,additive,True,255.3290824268742,0.09192529342891886,197.08671421157726,14
0.1,0.1,10.0,0.9,additive,True,265.56117371804584,0.0946242309055959,202.3560388605318,14
0.1,0.1,1.0,0.9,additive,True,265.56117371804584,0.0946242309055959,202.3560388605318,14
0.1,0.1,5.0,0.9,additive,True,265.56117371804584,0.0946242309055959,202.3560388605318,14
0.1,0.1,0.1,0.9,additive,True,265.56117371804584,0.0946242309055959,202.3560388605318,14
0.1,0.1,0.01,0.9,additive,True,265.56117371804584,0.0946242309055959,202.3560388605318,14
0.5,0.01,0.1,0.9,additive,True,249.67244431670815,0.09557491147166142,206.5770204988896,14
0.5,0.01,0.01,0.9,additive,True,249.67244431670815,0.09557491147166142,206.5770204988896,14
0.5,0.01,1.0,0.9,additive,True,249.67244431670815,0.09557491147166142,206.5770204988896,14
0.5,0.01,10.0,0.9,additive,True,249.67244431670815,0.09557491147166142,206.5770204988896,14
0.5,0.01,5.0,0.9,additive,True,249.67244431670815,0.09557491147166142,206.5770204988896,14
0.5,0.01,0.1,0.8,additive,True,263.2251745013087,0.09599727862295011,205.86814894292544,14
0.5,0.01,0.01,0.8,additive,True,263.2251745013087,0.09599727862295011,205.86814894292544,14
0.5,0.01,1.0,0.8,additive,True,263.2251745013087,0.09599727862295011,205.86814894292544,14
0.5,0.01,10.0,0.8,additive,True,263.2251745013087,0.09599727862295011,205.86814894292544,14
0.5,0.01,5.0,0.8,additive,True,263.2251745013087,0.09599727862295011,205.86814894292544,14
0.5,0.1,0.1,0.8,additive,True,298.6629536239076,0.0967709777174179,207.15379002343678,14
0.5,0.1,0.01,0.8,additive,True,298.6629536239076,0.0967709777174179,207.15379002343678,14
0.5,0.1,10.0,0.8,additive,True,298.6629536239076,0.0967709777174179,207.15379002343678,14
0.5,0.1,5.0,0.8,additive,True,298.6629536239076,0.0967709777174179,207.15379002343678,14
0.5,0.1,1.0,0.8,additive,True,298.6629536239076,0.0967709777174179,207.15379002343678,14
0.1,10.0,1.0,0.9,additive,True,313.04640848205804,0.10035790910297814,214.3457311079553,14
0.1,10.0,0.01,0.9,additive,True,313.04640848205804,0.10035790910297814,214.3457311079553,14
0.1,10.0,0.1,0.9,additive,True,313.04640848205804,0.10035790910297814,214.3457311079553,14
0.1,10.0,5.0,0.9,additive,True,313.04640848205804,0.10035790910297814,214.3457311079553,14
0.1,10.0,10.0,0.9,additive,True,313.04640848205804,0.10035790910297814,214.3457311079553,14
0.1,0.01,5.0,0.9,additive,True,290.0528566802515,0.10073957515878273,215.67791266864657,14
0.1,0.01,10.0,0.9,additive,True,290.0528566802515,0.10073957515878273,215.67791266864657,14
0.1,0.01,0.01,0.9,additive,True,290.0528566802515,0.10073957515878273,215.67791266864657,14
0.1,0.01,0.1,0.9,additive,True,290.0528566802515,0.10073957515878273,215.67791266864657,14
0.1,0.01,1.0,0.9,additive,True,290.0528566802515,0.10073957515878273,215.67791266864657,14
0.1,0.01,0.01,0.95,additive,True,290.08379477694564,0.10102642600779566,216.26007784370407,14
0.1,0.01,0.1,0.95,additive,True,290.08379477694564,0.10102642600779566,216.26007784370407,14
0.1,0.01,10.0,0.95,additive,True,290.08379477694564,0.10102642600779566,216.26007784370407,14
0.1,0.01,1.0,0.95,additive,True,290.08379477694564,0.10102642600779566,216.26007784370407,14
0.1,0.01,5.0,0.95,additive,True,290.08379477694564,0.10102642600779566,216.26007784370407,14
0.1,0.01,5.0,0.85,additive,True,296.7425140299794,0.10227658839470498,218.43414850573257,14
0.1,0.01,1.0,0.85,additive,True,296.7425140299794,0.10227658839470498,218.43414850573257,14
0.1,0.01,10.0,0.85,additive,True,296.7425140299794,0.10227658839470498,218.43414850573257,14
0.1,0.01,0.01,0.85,additive,True,296.7425140299794,0.10227658839470498,218.43414850573257,14
0.1,0.01,0.1,0.85,additive,True,296.7425140299794,0.10227658839470498,218.43414850573257,14
0.1,10.0,0.1,0.85,additive,True,294.2682699172182,0.1034678891879801,219.57574765204222,14
0.1,10.0,10.0,0.85,additive,True,294.2682699172182,0.1034678891879801,219.57574765204222,14
0.1,10.0,0.01,0.85,additive,True,294.2682699172182,0.1034678891879801,219.57574765204222,14
0.1,10.0,5.0,0.85,additive,True,294.2682699172182,0.1034678891879801,219.57574765204222,14
0.1,10.0,1.0,0.85,additive,True,294.2682699172182,0.1034678891879801,219.57574765204222,14
0.1,1.0,1.0,0.9,additive,True,300.5773740764818,0.10364128787762288,220.30317360956334,14
0.1,1.0,0.01,0.9,additive,True,300.5773740764818,0.10364128787762288,220.30317360956334,14
0.1,1.0,5.0,0.9,additive,True,300.5773740764818,0.10364128787762288,220.30317360956334,14
0.1,1.0,10.0,0.9,additive,True,300.5773740764818,0.10364128787762288,220.30317360956334,14
0.1,1.0,0.1,0.9,additive,True,300.5773740764818,0.10364128787762288,220.30317360956334,14
0.1,1.0,0.01,0.85,additive,True,291.5742975397956,0.10401148489082691,220.3950575965767,14
0.1,1.0,5.0,0.85,additive,True,291.5742975397956,0.10401148489082691,220.3950575965767,14
0.1,1.0,10.0,0.85,additive,True,291.5742975397956,0.10401148489082691,220.3950575965767,14
0.1,1.0,0.1,0.85,additive,True,291.5742975397956,0.10401148489082691,220.3950575965767,14
0.1,1.0,1.0,0.85,additive,True,291.5742975397956,0.10401148489082691,220.3950575965767,14
0.1,0.1,0.01,0.85,additive,True,298.08268491050325,0.10498962131490433,222.57343996341208,14
0.1,0.1,1.0,0.85,additive,True,298.08268491050325,0.10498962131490433,222.57343996341208,14
0.1,0.1,5.0,0.85,additive,True,298.08268491050325,0.10498962131490433,222.57343996341208,14
0.1,0.1,0.1,0.85,additive,True,298.08268491050325,0.10498962131490433,222.57343996341208,14
0.1,0.1,10.0,0.85,additive,True,298.08268491050325,0.10498962131490433,222.57343996341208,14
0.5,0.01,10.0,0.85,additive,True,294.83922823938735,0.10578677291831787,225.50536106480206,14
0.5,0.01,1.0,0.85,additive,True,294.83922823938735,0.10578677291831787,225.50536106480206,14
0.5,0.01,0.01,0.85,additive,True,294.83922823938735,0.10578677291831787,225.50536106480206,14
0.5,0.01,5.0,0.85,additive,True,294.83922823938735,0.10578677291831787,225.50536106480206,14
0.5,0.01,0.1,0.85,additive,True,294.83922823938735,0.10578677291831787,225.50536106480206,14
0.1,5.0,0.1,0.95,additive,True,297.0770120024215,0.10656122231020251,226.77183418636565,14
0.1,5.0,1.0,0.95,additive,True,297.0770120024215,0.10656122231020251,226.77183418636565,14
0.1,5.0,10.0,0.95,additive,True,297.0770120024215,0.10656122231020251,226.77183418636565,14
0.1,5.0,5.0,0.95,additive,True,297.0770120024215,0.10656122231020251,226.77183418636565,14
